date,price,ma20,investment,shares_bought,total_invested,total_shares,current_value,return_pct
2015-04-09 00:00:00-04:00,175.76290893554688,174.5297752380371,1000,5.689482531076593,1000,5.689482531076593,1000.0,0.0
2015-06-09 00:00:00-04:00,175.38430786132812,177.90126724243163,1500,8.552646575348186,2500,14.24212910642478,2497.845955801986,-0.08616176792056648
2015-07-09 00:00:00-04:00,173.23597717285156,176.42424468994142,1500,8.658709492563018,4000,22.900838598987797,3967.249152773408,-0.8187711806648055
2015-09-09 00:00:00-04:00,164.6883087158203,168.7837760925293,1500,9.108114666405015,5500,32.00895326539281,5271.500377041276,-4.154538599249529
2015-10-09 00:00:00-04:00,171.1025848388672,166.0859504699707,1000,5.844447066312482,6500,37.853400331705295,6476.814641695209,-0.356697820073714
2015-11-09 00:00:00-05:00,176.83914184570312,175.30900955200195,1000,5.654856665570831,7500,43.50825699727613,7693.962830600619,2.5861710746749185
2015-12-09 00:00:00-05:00,174.5105438232422,176.51071014404297,1500,8.59546917416816,9000,52.103726171444286,9092.649589396038,1.0294398821782023
2016-02-09 00:00:00-05:00,158.5277099609375,161.89866409301757,1500,9.462068179560609,10500,61.5657943510049,9759.88439039083,-7.0487200915159125
2016-03-09 00:00:00-05:00,170.4538116455078,165.9266098022461,1000,5.866691922851784,11500,67.43248627385668,11494.124314112258,-0.05109292076297647
2016-05-09 00:00:00-04:00,176.92721557617188,178.45122451782225,1500,8.478062547444601,13000,75.91054882130129,13430.642035811894,3.312631044706876
2016-06-09 00:00:00-04:00,182.24644470214844,179.0957290649414,1000,5.487075490741858,14000,81.39762431204315,14834.427638071025,5.960197414793038
2016-08-09 00:00:00-04:00,188.46337890625,187.15774841308593,1000,5.3060706318835775,15000,86.70369494392672,16340.471312789174,8.936475418594492
2016-09-09 00:00:00-04:00,184.2307586669922,188.3489196777344,1500,8.141962888571378,16500,94.84565783249809,17473.487498751074,5.899924234854994
2016-11-09 00:00:00-05:00,187.8527069091797,184.79414825439454,1000,5.323319618084958,17500,100.16897745058304,18817.013562416607,7.525791785237754
2016-12-09 00:00:00-05:00,196.64715576171875,191.41127090454103,1000,5.085250260175234,18500,105.25422771075827,20697.944511216894,11.88078114171294
2017-01-09 00:00:00-05:00,197.7624969482422,196.96088180541992,1000,5.056570459169096,19500,110.31079816992737,21815.33888643842,11.873532750966262
2017-02-09 00:00:00-05:00,201.3778839111328,199.03622741699218,1000,4.965788598917325,20500,115.2765867688447,23214.155108008035,13.239781014673344
2017-03-09 00:00:00-05:00,206.84466552734375,205.98184051513672,1000,4.834545756597263,21500,120.11113252544196,24844.3470333355,15.55510248063023
2017-05-09 00:00:00-04:00,210.00735473632812,207.7664367675781,1000,4.761737993679014,22500,124.87287051912098,26224.22121605261,16.55209429356716
2017-06-09 00:00:00-04:00,213.48936462402344,211.48217315673827,1000,4.684074083789148,23500,129.55694460291014,27659.029785905088,17.697999088957822
2017-08-09 00:00:00-04:00,217.91490173339844,217.52707443237304,1000,4.5889473002788055,24500,134.14589190318895,29232.38885202251,19.315872865397992
2017-10-09 00:00:00-04:00,224.93072509765625,222.11120529174804,1000,4.445813259019365,25500,138.5917051622083,31173.532734656106,22.249147979043553
2017-11-09 00:00:00-05:00,228.66851806640625,227.53695220947264,1000,4.373142435416475,26500,142.96484759762478,32691.559835738477,23.364376738635762
2018-01-09 00:00:00-05:00,244.4107666015625,238.85789108276367,1000,4.0914727853629955,27500,147.0563203829878,35942.14799841103,30.69871999422191
2018-02-09 00:00:00-05:00,232.80186462402344,246.5260238647461,2000,8.590996482051436,29500,155.64731686503922,36234.98558990734,22.830459626804533
2018-03-09 00:00:00-05:00,248.265625,241.557958984375,1000,4.027943860532444,30500,159.67526072557166,39641.878401072005,29.97337180679346
2018-04-09 00:00:00-04:00,233.28736877441406,238.01430130004883,1500,6.429838048584966,32000,166.10509877415663,38750.22143303715,21.094441978241093
2018-05-09 00:00:00-04:00,240.8848419189453,237.98928833007812,1000,4.15136125641516,33000,170.2564600305718,41012.20046014352,24.279395333768235
2018-07-09 00:00:00-04:00,249.5082550048828,246.30791015625,1000,4.007883426463907,34000,174.2643434570357,43480.39224553655,27.883506604519255
2018-08-09 00:00:00-04:00,255.9457244873047,253.17145538330078,1000,3.9070783542219383,35000,178.17142181125763,45602.213638415495,30.292038966901412
2018-10-09 00:00:00-04:00,259.2058410644531,261.5167175292969,1500,5.786906629264639,36500,183.95832844052228,47683.07324423648,30.63855683352461
2018-11-09 00:00:00-05:00,250.5115509033203,246.79071731567382,1000,3.9918318991443593,37500,187.95016033966664,47083.686159217614,25.556496424580306
2019-01-09 00:00:00-05:00,234.02159118652344,228.38696517944337,1000,4.273109993526045,38500,192.2232703331927,44984.395586451,16.84258593883376
2019-04-09 00:00:00-04:00,261.785888671875,258.07166900634763,1000,3.819915600009326,39500,196.043185933202,51321.33964758891,29.927442145794707
2019-05-09 00:00:00-04:00,261.19366455078125,265.0870086669922,1500,5.742865174696342,41000,201.78605110789834,52705.238144103205,28.549361327080984
2019-07-09 00:00:00-04:00,272.1051330566406,267.91577606201173,1000,3.67505011304525,42000,205.4611012209436,55907.02028568876,33.11195306116372
2019-08-09 00:00:00-04:00,267.0052795410156,271.36126098632815,1500,5.617866442860279,43500,211.07896766380387,56359.19876630295,29.561376474259653
2019-09-09 00:00:00-04:00,273.02996826171875,266.3341949462891,1000,3.6626016051154813,44500,214.74156926891933,58630.88384196472,31.754795150482522
2019-10-09 00:00:00-04:00,267.9163818359375,272.0574325561523,1500,5.598761784259041,46000,220.34033105317837,59032.784268300216,28.332139713696126
2019-12-09 00:00:00-05:00,288.7135925292969,286.72676239013674,1000,3.4636401813971616,47000,223.80397123457553,64615.248557457715,37.47925224991003
2020-01-09 00:00:00-05:00,301.9368896484375,296.44618835449216,1000,3.311950391899306,48000,227.11592162647483,68574.6749655361,42.86390617820022
2020-03-09 00:00:00-04:00,253.4827880859375,294.1354461669922,2500,9.862602580939075,50500,236.9785242074139,60069.97703258611,18.950449569477446
2020-04-09 00:00:00-04:00,258.6646728515625,234.27259216308593,1000,3.8660091808279544,51500,240.84453338824184,62297.9724369568,20.9669367707899
2020-06-09 00:00:00-04:00,298.2638854980469,280.05599822998045,1000,3.3527357773475672,52500,244.1972691655894,72835.2263293411,38.733764436840175
2020-07-09 00:00:00-04:00,293.5902404785156,288.56289825439455,1000,3.4061077724181983,53500,247.6033769380076,72693.9349785222,35.87651397854617
2020-09-09 00:00:00-04:00,317.32000732421875,320.16546630859375,1500,4.727089264394819,55000,252.33046620240242,80069.50538346986,45.58091887903611
2020-10-09 00:00:00-04:00,325.209716796875,313.58775787353517,1000,3.074938872827705,56000,255.40540507523014,83060.31945290673,48.321999023047724
2020-11-09 00:00:00-05:00,332.4386291503906,320.51602325439455,1000,3.0080740091958864,57000,258.413479084426,85906.62274080972,50.713373229490735
2020-12-09 00:00:00-05:00,343.9619140625,339.6530990600586,1000,2.907298625563218,58000,261.3207777099892,89884.39488542898,54.97309463004996
2021-02-09 00:00:00-05:00,367.461669921875,359.07948303222656,1000,2.721372273229497,59000,264.04214998321874,97025.36936259574,64.44977858067075
2021-03-09 00:00:00-05:00,364.5614929199219,364.630712890625,1500,4.114532195887962,60500,268.1566821791067,97759.60039166815,61.58611634986472
2021-04-09 00:00:00-04:00,388.7303161621094,375.04051971435547,1000,2.5724775208501547,61500,270.7291596999569,105240.63184446644,71.12297860888852
2021-06-09 00:00:00-04:00,398.3285217285156,394.12976837158203,1000,2.510490576121885,62500,273.23965027607875,108839.14597208705,74.14263355533927
2021-07-09 00:00:00-04:00,412.7772521972656,404.0213790893555,1000,2.422614120998367,63500,275.66226439707714,113787.11203230162,79.19230241307342
2021-08-09 00:00:00-04:00,419.0421447753906,414.4653030395508,1000,2.3863948112808715,64500,278.048659208358,116514.106506592,80.64202559161549
2021-09-09 00:00:00-04:00,425.53448486328125,424.52504577636716,1000,2.3499858074282445,65500,280.39864501578626,119319.29296315467,82.16685948573232
2021-11-09 00:00:00-05:00,444.3927307128906,433.66418304443357,1000,2.2502618312315987,66500,282.6489068470179,125607.11954675973,88.8828865364808
2021-12-09 00:00:00-05:00,443.4133605957031,441.32634887695315,1000,2.2552319999030956,67500,284.904138846921,126330.30165373805,87.1560024499823
2022-02-09 00:00:00-05:00,436.5650329589844,428.6727661132812,1000,2.2906094728249817,68500,287.194748319746,125379.18476585714,83.03530622752866
2022-03-09 00:00:00-05:00,407.8163146972656,415.2191619873047,1500,3.6781265141721837,70000,290.87287483391816,118622.70386016753,69.46100551452504
2022-05-09 00:00:00-04:00,381.0970458984375,408.50228424072264,2000,5.248007093009587,72000,296.1208819269277,112850.79333119217,56.73721295998912
2022-06-09 00:00:00-04:00,384.226806640625,386.3329559326172,1500,3.9039441654652167,73500,300.0248260923929,115277.580842389,56.84024604406667
2022-08-09 00:00:00-04:00,395.41259765625,384.28894805908203,1000,2.5290038959996544,74500,302.5538299883926,119633.59584655774,60.58200784772851
2022-09-09 00:00:00-04:00,390.8466796875,394.4383712768555,1500,3.837822035994573,76000,306.39165202438716,119752.15987769961,57.56863141802581
2022-11-09 00:00:00-05:00,361.11199951171875,362.60804443359376,1500,4.153835934635903,77500,310.54548795902303,112141.70209622518,44.69897044674217
2022-12-09 00:00:00-05:00,379.59564208984375,384.45496826171876,1500,3.951573289255454,79000,314.4970612482785,119381.7138999092,51.11609354418886
2023-01-09 00:00:00-05:00,376.0833435058594,373.8766616821289,1000,2.6589850820777445,80000,317.1560463303562,119277.10631701961,49.09638289627451
2023-02-09 00:00:00-05:00,394.72943115234375,391.27802124023435,1000,2.533380896075254,81000,319.68942722643146,126190.82575450788,55.79114290679985
2023-03-09 00:00:00-05:00,379.67095947265625,390.2177230834961,1500,3.9507893942782037,82500,323.6402166207097,122876.79156832315,48.9415655373614
2023-05-09 00:00:00-04:00,399.9735107421875,400.4095916748047,1500,3.7502483532387245,84000,327.3904649739484,130947.5136591473,55.88989721327059
2023-06-09 00:00:00-04:00,418.437744140625,408.56080322265626,1000,2.3898417721703624,85000,329.78030674611875,137992.52761684926,62.34415013746971
2023-08-09 00:00:00-04:00,435.476806640625,441.74150390625,1500,3.4445003203990776,86500,333.2248070665178,145111.67487476557,67.75916170493129
2023-10-09 00:00:00-04:00,423.8166809082031,424.9220886230469,1500,3.539266073212662,88000,336.7640731397305,142726.23172720795,62.18889969000904
2023-11-09 00:00:00-05:00,425.3363037109375,418.2318572998047,1000,2.351080759566692,89000,339.1151538992972,144237.9860918928,62.065152912239085
2024-01-09 00:00:00-05:00,466.4751281738281,463.6935104370117,1000,2.1437370174800794,90000,341.25889091677726,159188.7848808621,76.87642764540233
2024-02-09 00:00:00-05:00,493.3682556152344,479.62145080566404,1000,2.0268835471649704,91000,343.28577446394223,169366.30372479995,86.11681727999994
2024-04-09 00:00:00-04:00,512.7933959960938,511.488330078125,1000,1.9501031171774639,92000,345.2358775811197,177034.67808451407,92.42899791795008
2024-05-09 00:00:00-04:00,513.6327514648438,500.4490310668945,1000,1.9469163466466493,93000,347.1827939277664,178324.4537063705,91.74672441545214
2024-07-09 00:00:00-04:00,550.6053466796875,540.2611663818359,1000,1.8161828722337963,94000,348.9989768000002,192160.70261182034,104.42627937427696
2024-08-09 00:00:00-04:00,527.989501953125,537.5489532470704,1500,2.840965576874614,95500,351.83994237687483,185767.79594278234,94.52125229610716
2024-09-09 00:00:00-04:00,541.2835693359375,548.0995269775391,1500,2.7711907121811286,97000,354.61113308905595,191945.1798447054,97.88162870588184
2024-10-09 00:00:00-04:00,573.4789428710938,564.5079925537109,1000,1.7437431878379872,98000,356.35487627689395,204362.01773423253,108.53267115738015
2024-12-09 00:00:00-05:00,600.8441772460938,594.4048217773437,1000,1.6643250244737247,99000,358.0192013013677,215113.75244422388,117.28661863052916
