date,price,investment,shares_bought,total_invested,total_shares,current_value,return_pct
2015-04-09 00:00:00-04:00,175.76290893554688,1698.138952983709,9.661531908341509,1698.138952983709,9.661531908341509,1698.138952983709,0.0
2015-06-09 00:00:00-04:00,175.38430786132812,2250.0,12.82896986302228,3948.138952983709,22.49050177136379,3944.481086624612,-0.09264786276917567
2015-07-09 00:00:00-04:00,173.23599243164062,2170.0410019879637,12.526501978763262,6118.1799549716725,35.01700375012705,6066.205396635742,-0.8495101274962662
2015-09-09 00:00:00-04:00,164.68829345703125,4500.0,27.324346530884984,10618.179954971672,62.34135028101204,10266.890589586888,-3.3083764531632607
2015-10-09 00:00:00-04:00,171.1026153564453,1260.570407318991,7.367335704909822,11878.750362290664,69.70868598592186,11927.338485252418,0.40903395963263495
2015-11-09 00:00:00-05:00,176.83917236328125,1000.0,5.654855689698078,12878.750362290664,75.36354167561994,13327.226336282285,3.4822941774286638
2015-12-09 00:00:00-05:00,174.51060485839844,1598.6532044878868,9.160779688919579,14477.40356677855,84.52432136453952,14750.39044657144,1.8856066181598758
2016-02-09 00:00:00-05:00,158.52767944335938,1544.751821647136,9.744366580468762,16022.155388425686,94.26868794500828,14944.196344092348,-6.727927786245598
2016-03-09 00:00:00-05:00,170.45382690429688,1100.0451225825464,6.453625257707933,17122.200511008232,100.72231320271621,17168.503740056163,0.27042802715785297
2016-05-09 00:00:00-04:00,176.9272003173828,2250.0,12.717094917931288,19372.200511008232,113.4394081206475,20070.51688444714,3.6047343875162325
2016-06-09 00:00:00-04:00,182.2464599609375,1500.0,8.230612546995472,20872.200511008232,121.67002066764297,22173.930550052035,6.236668904925747
2016-08-09 00:00:00-04:00,188.46331787109375,1500.0,7.959108525437182,22372.200511008232,129.62912919308016,24430.335780468544,9.199520934239827
2016-09-09 00:00:00-04:00,184.2307586669922,3000.0,16.283925777142755,25372.200511008232,145.9130549702229,26881.6728165827,5.949315688718267
2016-11-09 00:00:00-05:00,187.8527069091797,1000.0,5.323319618084958,26372.200511008232,151.23637458830785,28410.162349544305,7.727689760607544
2016-12-09 00:00:00-05:00,196.64710998535156,1500.0,7.627877165912769,27872.200511008232,158.86425175422062,31240.1959874528,12.083708550799086
2017-01-09 00:00:00-05:00,197.76255798339844,1500.0,7.584853347851217,29372.200511008232,166.44910510207183,32917.40079903326,12.06991722222632
2017-02-09 00:00:00-05:00,201.37794494628906,1500.0,7.448680640772631,30872.200511008232,173.89778574284446,35019.178723604105,13.432726349121657
2017-03-09 00:00:00-05:00,206.8446044921875,1500.0,7.251820774743268,32372.200511008232,181.14960651758773,37469.818714045825,15.746900496628696
2017-05-09 00:00:00-04:00,210.0073699951172,1500.0,7.142606471548479,33872.20051100823,188.2922129891362,39542.752440408934,16.741020199020763
2017-06-09 00:00:00-04:00,213.48934936523438,1500.0,7.026111627863095,35372.20051100823,195.3183246169993,41698.38204159082,17.884614016630966
2017-08-09 00:00:00-04:00,217.91485595703125,1500.0,6.883422396386651,36872.20051100823,202.20174701338595,44062.76457468207,19.501315256536124
2017-10-09 00:00:00-04:00,224.9307098388672,1500.0,6.668720340919876,38372.20051100823,208.87046735430584,46981.38248637995,22.43598714882644
2017-11-09 00:00:00-05:00,228.66845703125,1500.0,6.559715404013982,39872.20051100823,215.43018275831983,49262.087489305195,23.54995926473767
2018-01-09 00:00:00-05:00,244.4108428955078,1500.0,6.13720726228701,41372.20051100823,221.56739002060684,54153.472553094245,30.89338223304124
2018-02-09 00:00:00-05:00,232.80181884765625,14010.339863662295,60.18140207414168,55382.54037467053,281.7487920947485,65591.63125778761,18.43377139085924
2018-03-09 00:00:00-05:00,248.26564025878906,1870.4076030800877,7.533896358474728,57252.94797775061,289.2826884532233,71818.95186462328,25.441491488845674
2018-04-09 00:00:00-04:00,233.28732299804688,3000.0,12.859678620535744,60252.94797775061,302.14236707375903,70485.98397893047,16.98346113282054
2018-05-09 00:00:00-04:00,240.884765625,1124.26110130522,4.667215456271012,61377.209079055836,306.80958253003007,73905.75437925039,20.412373726634225
2018-07-09 00:00:00-04:00,249.50823974609375,1500.0,6.011825507351741,62877.209079055836,312.8214080373818,78051.51887430168,24.133243217215803
2018-08-09 00:00:00-04:00,255.94577026367188,1500.0,5.860616483150787,64377.209079055836,318.6820245205326,81565.31623509408,26.699056081991824
2018-10-09 00:00:00-04:00,259.20587158203125,2250.0,8.680358921915623,66627.20907905584,327.3623834424482,84854.2519233709,27.35675574026813
2018-11-09 00:00:00-05:00,250.51144409179688,1757.708089674788,7.016478213389314,68384.91716873064,334.3788616558375,83765.73150717502,22.49153026023894
2019-01-09 00:00:00-05:00,234.02157592773438,2000.0,8.5462205442869,70384.91716873064,342.9250822001244,80251.86816162097,14.018558790424834
2019-04-09 00:00:00-04:00,261.7857971191406,1500.0,5.729875403887321,71884.91716873064,348.6549576040117,91272.91599590638,26.970885675040286
2019-05-09 00:00:00-04:00,261.19354248046875,1500.0,5.742867858657591,73384.91716873064,354.3978254626693,92566.42347996947,26.138213479393396
2019-07-09 00:00:00-04:00,272.1051940917969,1500.0,5.512573933057532,74884.91716873064,359.9103993957268,97933.48908323038,30.778657152770457
2019-08-09 00:00:00-04:00,267.0052795410156,1775.6207609336905,6.650133525396943,76660.53792966432,366.56053292112375,97873.59756130831,27.67142026984845
2019-09-09 00:00:00-04:00,273.0299377441406,1356.3445471101272,4.967750270599163,78016.88247677445,371.5282831917229,101438.34403002355,30.021017002597674
2019-10-09 00:00:00-04:00,267.9164733886719,2250.0,8.398139806565307,80266.88247677445,379.9264229982882,101788.54739687419,26.812633375074853
2019-12-09 00:00:00-05:00,288.7135925292969,1500.0,5.195460272095742,81766.88247677445,385.12188327038393,111189.92248064106,35.984055050923715
2020-01-09 00:00:00-05:00,301.9369812011719,1500.0,4.9679240814843855,83266.88247677445,390.08980735186833,117782.53882916983,41.45184174755527
2020-03-09 00:00:00-04:00,253.48280334472656,14292.63661987612,56.38503453206134,97559.51909665058,446.4748418839297,113173.69454363204,16.004768772499546
2020-04-09 00:00:00-04:00,258.66455078125,2000.0,7.732022010590001,99559.51909665058,454.2068638945197,117487.2144110363,18.007012766887556
2020-06-09 00:00:00-04:00,298.2638854980469,1000.0,3.3527357773475672,100559.51909665058,457.55959967186726,136473.50404506197,35.714157417452896
2020-07-09 00:00:00-04:00,293.5902404785156,1823.8355754811737,6.212180529259244,102383.35467213175,463.7717802011265,136158.86847639803,32.98926267109296
2020-09-09 00:00:00-04:00,317.32000732421875,1500.0,4.727089264394819,103883.35467213175,468.4988694655213,148664.06469018743,43.1067230735751
2020-10-09 00:00:00-04:00,325.2097473144531,1000.0,3.07493858427643,104883.35467213175,471.5738080497977,153360.39895598913,46.21995972134754
2020-11-09 00:00:00-05:00,332.4386291503906,1500.0,4.512111013793829,106383.35467213175,476.0859190635916,158269.3502913042,48.772663523426694
2020-12-09 00:00:00-05:00,343.9619140625,1500.0,4.360947938344827,107883.35467213175,480.4468670019364,165255.42397931742,53.17972311998
2021-02-09 00:00:00-05:00,367.4616394042969,1500.0,4.082058748857963,109383.35467213175,484.5289257507944,178045.79339518974,62.77229193497347
2021-03-09 00:00:00-05:00,364.5614929199219,1500.0,4.114532195887962,110883.35467213175,488.64345794668236,178140.5885345956,60.65584330608962
2021-04-09 00:00:00-04:00,388.7303466796875,1500.0,3.85871597834371,112383.35467213175,492.50217392502606,191450.54081037513,70.35489051640673
2021-06-09 00:00:00-04:00,398.3284606933594,1500.0,3.765736441199786,113883.35467213175,496.26791036622586,197677.6328276888,73.57903918162522
2021-07-09 00:00:00-04:00,412.7773132324219,1500.0,3.6339206441692142,115383.35467213175,499.9018310103951,206348.13468443908,78.83700406422471
2021-08-09 00:00:00-04:00,419.04217529296875,1500.0,3.5795919562303995,116883.35467213175,503.4814229666255,210979.950699534,80.50470170996682
2021-09-09 00:00:00-04:00,425.5343933105469,1500.0,3.5249794695333323,118383.35467213175,507.0064024361588,215748.66186523382,82.24577472294128
2021-11-09 00:00:00-05:00,444.3927001953125,1500.0,3.3753929786442116,119883.35467213175,510.381795414803,226809.94419491585,89.19219003773874
2021-12-09 00:00:00-05:00,443.41339111328125,2146.9744146195735,4.841925069581569,122030.32908675133,515.2237204843846,228457.0970819823,87.2133745698352
2022-02-09 00:00:00-05:00,436.5650634765625,1623.4041051695353,3.71858456158091,123653.73319192087,518.9423050459654,226552.08034306555,83.21491352908683
2022-03-09 00:00:00-05:00,407.8163757324219,4376.985593374455,10.73273623579623,128030.71878529532,529.6750412817617,216010.15565144896,68.71744351735867
2022-05-09 00:00:00-04:00,381.0970153808594,10025.230970831277,26.306243728548484,138055.9497561266,555.9812850103101,211882.8083250441,53.47604264744212
2022-06-09 00:00:00-04:00,384.2268371582031,1673.8804165755496,4.356490111299381,139729.83017270215,560.3377751216095,215296.81107524052,54.080779178747804
2022-08-09 00:00:00-04:00,395.41265869140625,1000.0,2.5290035056273568,140729.83017270215,562.8667786272368,222564.6494260629,58.150300581571045
2022-09-09 00:00:00-04:00,390.8466491699219,1576.8781783529064,4.034518862325856,142306.70835105504,566.9012974895627,221571.47253387663,55.699949145956005
2022-11-09 00:00:00-05:00,361.1119384765625,1183.4086679108402,3.2771241873180212,143490.1170189659,570.1784216768807,205898.23512924527,43.49297317949121
2022-12-09 00:00:00-05:00,379.595703125,1000.0,2.6343817692549125,144490.1170189659,572.8128034461356,217437.27888313826,50.48591790855652
2023-01-09 00:00:00-05:00,376.0832824707031,1000.0,2.6589855136086777,145490.1170189659,575.4717889597442,216425.31936126834,48.756028103995156
2023-02-09 00:00:00-05:00,394.72943115234375,1500.0,3.8000713441128813,146990.1170189659,579.2718603038571,228655.65190030145,55.558520897563746
2023-03-09 00:00:00-05:00,379.6709289550781,2250.0,5.92618456775819,149240.1170189659,585.1980448716154,222182.6853191017,48.87597903107115
2023-05-09 00:00:00-04:00,399.9735107421875,1500.0,3.7502483532387245,150740.1170189659,588.9482932248541,235563.71648676417,56.271416757044115
2023-06-09 00:00:00-04:00,418.4377136230469,1500.0,3.584762919700129,152240.1170189659,592.5330561445542,247938.17725920372,62.85994921319975
2023-08-09 00:00:00-04:00,435.476806640625,2250.0,5.166750480598616,154490.1170189659,597.6998066251527,260284.4031188406,68.47964655686482
2023-10-09 00:00:00-04:00,423.81671142578125,1500.0,3.539265818362332,155990.1170189659,601.239072443515,254815.16646369762,63.35340426260222
2023-11-09 00:00:00-05:00,425.3362731933594,1027.2397061749482,2.415123681934274,157017.35672514082,603.6541961254493,256756.02607753183,63.52079249874505
2024-01-09 00:00:00-05:00,466.47515869140625,1500.0,3.215605315849875,158517.35672514082,606.8698014412992,283089.68693235226,78.58592445697417
2024-02-09 00:00:00-05:00,493.3682556152344,1500.0,3.0403253207474554,160017.35672514082,609.9101267620466,300910.2953226574,88.048535159549
2024-04-09 00:00:00-04:00,512.7933959960938,1500.0,2.9251546757661955,161517.35672514082,612.8352814378128,314257.8851547179,94.5660153970328
2024-05-09 00:00:00-04:00,513.6327514648438,1209.4872895684416,2.3547705751221484,162726.84401470926,615.190052012935,315981.75908920413,94.17924621007325
2024-07-09 00:00:00-04:00,550.6053466796875,1500.0,2.7242743083506946,164226.84401470926,617.9143263212857,340226.93186247704,107.16889123924467
2024-08-09 00:00:00-04:00,527.989501953125,2809.875088689233,5.3218389348557436,167036.7191033985,623.2361652561414,329062.15249276557,96.99988976020933
2024-09-09 00:00:00-04:00,541.2835083007812,2905.9447784547015,5.3686187254756,169942.6638818532,628.604783981617,340253.4028082244,100.21658778090821
2024-10-09 00:00:00-04:00,573.4789428710938,1500.0,2.615614781756981,171442.6638818532,631.220398763374,361991.60700148996,111.14441341797531
2024-12-09 00:00:00-05:00,600.84423828125,1500.0,2.4964872831115725,172942.6638818532,633.7168860464856,380765.13968256634,120.16842526647346
